"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C02076V03371","Age Group","UNIT","VALUE"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","300","15 - 19 years","%","33.2"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","365","20 - 24 years","%","41.1"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","410","25 - 29 years","%","33"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","440","30 - 34 years","%","33.5"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","460","35 - 39 years","%","30.2"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","475","40 - 44 years","%","28.9"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","495","45 - 49 years","%","27.2"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","515","50 - 54 years","%","30.5"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","530","55 - 59 years","%","26.6"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","550","60 - 64 years","%","24.2"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","565","65 - 69 years","%","18.7"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","580","70 - 74 years","%","17"
"HIS47C01","Persons who binge drink","2024","2024","-","Both sexes","605","75 years and over","%","7.9"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","-","All ages","%","42.1"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","300","15 - 19 years","%","45.1"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","365","20 - 24 years","%","53.1"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","410","25 - 29 years","%","47.2"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","440","30 - 34 years","%","46.3"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","460","35 - 39 years","%","44.8"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","475","40 - 44 years","%","45.6"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","495","45 - 49 years","%","44.4"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","515","50 - 54 years","%","45.4"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","530","55 - 59 years","%","42"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","550","60 - 64 years","%","38.6"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","565","65 - 69 years","%","34.6"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","580","70 - 74 years","%","30.2"
"HIS47C01","Persons who binge drink","2024","2024","1","Male","605","75 years and over","%","17"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","-","All ages","%","14.2"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","300","15 - 19 years","%","18.4"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","365","20 - 24 years","%","29.6"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","410","25 - 29 years","%","19.5"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","440","30 - 34 years","%","21.1"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","460","35 - 39 years","%","16.5"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","475","40 - 44 years","%","13.7"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","495","45 - 49 years","%","10.4"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","515","50 - 54 years","%","15.6"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","530","55 - 59 years","%","12.1"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","550","60 - 64 years","%","9.6"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","565","65 - 69 years","%","5"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","580","70 - 74 years","%","4.3"
"HIS47C01","Persons who binge drink","2024","2024","2","Female","605","75 years and over","%","0"
